Activo;Banderin Alcista;Canales;MACD;Fibbonacci;Volumen;Roi;Rubro;Activos;Pasivos;Pasivo/Activo;Conservador/Moderado/Agrecivo;Repercucion;ICC
3;-1;-1;1;-1;3100000000;125;1;0;0;1;0;1;0
3;1;2;1;-1;3100000000;115;1;0;0;0;0;1;0
3;-1;1;-1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;-1;1;-1;3100000000;115;1;0;0;1;-1;1;0
3;-1;-1;1;-1;3100000000;115;1;0;0;1;1;1;0
3;-1;-1;1;-1;3100000000;115;1;0;0;0;0;1;0
3;-1;1;1;1;3100000000;115;1;0;0;1;-1;1;0
3;1;1;1;1;3100000000;115;1;0;0;0;-1;1;0
3;-1;2;1;1;3100000000;115;1;0;0;0;1;1;0
3;-1;1;-1;1;3100000000;115;1;0;0;1;0;1;0
3;0;1;1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;0;1;0;3100000000;115;1;0;0;0;-1;1;0
3;-1;1;0;1;3100000000;115;1;0;0;0;-1;1;0
3;0;1;1;1;3100000000;115;1;0;0;0;1;1;0
3;-1;-1;1;0;3100000000;115;1;0;0;0;0;1;0
3;1;1;-1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;1;-1;1;0
3;-1;1;1;-1;3100000000;115;1;0;0;1;1;1;0
3;-1;2;1;1;3100000000;115;1;0;0;0;0;1;0
3;1;0;0;1;3100000000;115;1;0;0;1;1;1;0
3;-1;2;0;1;3100000000;115;1;0;0;0;0;1;0
3;-1;1;1;0;3100000000;115;1;0;0;0;1;1;0
3;1;-1;1;0;3100000000;115;1;0;0;1;1;1;0
3;-1;1;-1;-1;3100000000;115;1;0;0;1;-1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;0;1;1;0
3;0;1;1;-1;3100000000;115;1;0;0;0;-1;1;0
3;0;1;1;1;3100000000;115;1;0;0;0;0;1;0
3;-1;-1;-1;0;3100000000;115;1;0;0;0;1;1;0
3;1;1;1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;1;0;-1;3100000000;115;1;0;0;1;-1;1;0
